ID,question,ground_truth,F1,Semantic Similarity,RR,NDCG@3,Precision@3,Type,response_time
31,What does William Irwin say is the basis for Christian readings of Old Testament prophecy?,"William Irwin remarks that allusion moves in only one direction: ""If A alludes to B, then B does not allude to A. The Bible does not allude to Shakespeare, though Shakespeare may allude to the Bible."" Irwin appends a note: ""Only a divine author, outside of time, would seem capable of alluding to a later text."" This is the basis for Christian readings of Old Testament prophecy, which asserts that passages are to be read as allusions to future events.",1,1.0000001192092896,1,1,1,multi-hop,22.99582529067993
32,What was the earliest programmable machine developed?,A music sequencer,0,0.14123958349227905,1,1,1,multi-hop,12.81465458869934
33,What was the first major advancement in this century?,Advancements in the field of chromatography arrived in,1,1.000000238418579,0.5,0.8821211986607034,0.3333333333333333,factual,13.268561363220215
34,"What is the branch of philosophy that studies the source, nature and validity of knowledge?","Epistemology is the branch of philosophy that studies the source, nature and validity of knowledge.",1,1,1,1,1,comparative,9.719550609588623
35,What is the name of the organization that is a collaborative platform for human factors practitioners?,The International Society of Automotive Engineers,0.14035087719298245,0.45249372720718384,1,1,1,factual,24.28497552871704
36,How do we calculate the weight of a constituent orbital?,"The Chirgwin–Coulson formula is a linearly independent, orthogonal set of basis orbitals. The weight of a constituent orbital  i displaystyle Psi _i would be C i 2 displaystyle C_i2 since the overlap integral, S i j displaystyle S_ij , between two wave functions  i ,  j displaystyle Psi _1,Psi _2 , between two wave functions  i ,  j displaystyle Psi _1,Psi _2 , between two wave functions  i ,  j displaystyle Psi _1,Psi _2 , between two wave functions  i ,  j displaystyle Psi _1,Psi _2 , between two wave functions  i ,  j displaystyle Psi _1,Psi _2 , between two wave functions  i ,  j displaystyle Psi _1,Psi _1 ,Psi _1 ,Psi _1 ,Psi _1 ,Psi _1 ,Psi _1 ,Psi _1 ,Psi _1 ,Psi _1 ,Psi _1 ,Psi _1 ,Psi _1 ,Psi _1 ,Psi _1 ,Psi _1 ,Psi _1 ,Psi _",0.3076923076923077,0.7130204439163208,1,1,0.6666666666666666,inferential,47.27850937843323
37,What is the HuHu regularization term?,"( u ) = W ( u ) + H u  H u displaystyle Psi (mathbf u)=W(mathbf u)+mathbb H mathbf u,boldsymbol scriptstyle vdots ,mathbb H mathbf u , where  ( u ) textstyle Psi (mathbf u) represents the augmented strain energy density of the third medium, H u  H u textstyle mathbb H mathbf u by itself, and W ( u ) textstyle W( mathbf u) is the regularization term representing the inner product of the spatial Hessian of u displaystyle mathbf u by itself, and W ( u ) textstyle W( mathbf u) is the underlying strain energy density of the third medium, e.g. a neo-Hookean solid or another hyperelastic material.",0.047619048,0.22011622786521912,1,1,0.6666666666666666,factual,16.351786375045776
38,What are poison exons?,a class of cassette exons that contain PTCs,0.9090909090909091,0.7974345088005066,1,1,0.6666666666666666,comparative,16.71678614616394
39,What is the primary cause of low fluorescence?,The dominant deactivation pathway is non-radiative.,1,1.0000001192092896,1,1,0.3333333333333333,multi-hop,13.016873836517334
40,What is the most common IV dye for CLE?,Fluorescein is the most popular IV dye for CLE.,1,1,1,1,1,multi-hop,9.336364984512329
41,"What is the origin of the word ""molecules""?","Robert Boyle's Amedeo Avogadro created the word ""molecule"".",0.066666667,0.6334320902824402,1,0.9777813616305049,1,inferential,16.59031367301941
42,"What is the name of the bioregion that is defined along the watershed, and hydrological boundaries?","A bioregion is defined along the watershed, and hydrological boundaries, and uses a combination of bioregional layers, beginning with the oldest ""hard"" lines: geology, topography, tectonics, wind, fracture zones and continental divides, working its way through the ""soft"" lines: living systems such as soil, ecosystems, climate, marine life, and flora and fauna, and lastly the ""human"" lines: human geography, energy, transportation, agriculture, food, music, language, history, Indigenous cultures, and ways of living within the context set into a place, and its limits to determine the final edges and boundaries.",1,1.0000001192092896,1,1,1,factual,17.830996990203857
43,What are the methods of philosophy?,Methods of philosophy are ways of conducting philosophical inquiry.,1,0.9710308313369751,1,1,1,factual,8.947315931
44,What is the field of local history?,"The field of local history is a field of professional and ethical questions about who local history serves, where people can find it, and how historians work with a community whose members are both neighbors and subjects.",0.14814814814814814,0.7840226888656616,1,1,1,factual,9.169771671295166
45,What is the difference between ethylene carbonate and diethyl carbonate?,Ethyl carbonate is a solvent that is a redox reaction. Ethyl carbonate is a redox reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction that is a reaction,0.3,0.6694810390472412,1,0.9151505377371351,1,comparative,11.126182079315186
46,How do we construct a magic square?,"We should also ensure that the diagonals sum to magic constant. For this, we have a third condition: The mutually orthogonal Greek and Latin squares that satisfy the first part of the third condition (that all letters appear in both the diagonals) are said to be mutually orthogonal doubly diagonal Graeco-Latin squares. Odd squares: For the 33 odd square, since , , and  are in arithmetic progression, their sum is equal to the product of the square's order and the middle term, i.e.  +  +  = 3 . Thus, the diagonal sums will be equal if we have s in the main diagonal and , ,  in the skew diagonal. Similarly, for the Latin square. The resulting Greek and Latin squares and their combination will be as below.",0.1111111111111111,0.393146813,1,1,1,comparative,27.844191551208496
47,What was the first public work Grace u Rofflu presented in?,Grace u Rofflu was presented in,0.4210526315789474,0.45075753331184387,0.5,0.9151505377371351,1,multi-hop,10.868403196334839
48,"What is the name of the plant that is a subspecies of Galápagos tortoise once endemic to Floreana Island, Ecuador?","The Floreana giant tortoise (Chelonoidis niger niger) is a subspecies of Galápagos tortoise once endemic to Floreana Island, Ecuador.",0,0.16170763969421387,1,1,0.6666666666666666,factual,11.224870443344116
49,Why are the left and right images of stereo photographs sometimes placed slightly further apart than they should be for a realistic image?,"The eyes have to look slightly farther away (converge) than is appropriate for the original situation and the monocular perspective in the images. The brain ""corrects"" this by perceiving objects as larger and with more depth. A similar mechanism underlies the explanation of pseudocopy. Pseudoscopy is viewing a stereogram of a natural scene in which the images for both eyes have been swapped. This reverses the binocular depth (disparity), convex becomes concave, and vice versa. The monocular perspective is unchanged, and therefore conflicts with the binocular depth information. This results in nearby objects appearing larger than normal and more distant objects appearing smaller.",0.7317073170731707,0.8458799123764038,1,1,1,comparative,27.264878034591675
50,What is the legal issue in the art world?,"Art forgeries, plagiarism, replicas and works that are strongly based on other works of art.",0.060606061,0.5246654152870178,1,1,1,inferential,17.405980348587036
51,What is the purpose of the head bobbing behavior observed in turtles?,Disperse the chemicals from the mental glands through the air.,1,1,1,1,0.6666666666666666,multi-hop,9.686771631240845
52,What is the meaning of the term 'doctory'?,The term 'doctory' has a deep political resonance.,0.23529411764705885,0.6362302303314209,1,0.9298593499260985,1,inferential,9.873861312866211
53,What is the advantage of open microfluidic devices?,Direct pipette accessibility and easy fabrication,0,0.17070364952087402,1,1,1,inferential,27.75134515762329
54,What is the name of the scale that Langeslag et al. developed?,Infatuation and Attachment Scales,0.5,0.7849038243293762,1,1,0.3333333333333333,factual,10.29533839225769
55,What is the difference between Transpersonal psychology and Anthroposophic clinical and pedagogical therapies?,"Transpersonal psychology systematised mid-twentieth century developments by the theorising non-ordinary states and integrating selected esoteric vocabularies—subtle body maps, archetypal narratives and ritualised techniques—into psychological models of development, crisis and integration. In practice and training milieus influenced by the Human Potential Movement and venues such as the Esalen Institute, experiential formats (e.g., guided imagery, breathwork, ritualised settings) supplied containers within which symbolic repertoires could be framed for self-exploration and clinical reflection.",0.030303030303030304,0.3540155291557312,0.5,0.7899980042460358,1,comparative,10.872161626815796
56,What is the crystalline structure of the solid-state electrolyte?,Lilicon is a lithium superionic conductor. Lilicon is a nitride. Lilicon is a pyro-ionic conductor.,0.068965517,0.26726001501083374,1,1,1,inferential,27.880521059036255
57,What is the crystalline structure of a solid-state electrolyte?,Lilicon is a lithium superionic conductor. Lilicon is a nitride. Lilicon is a pyro-ionic conductor.,0.068965517,0.26726001501083374,1,1,1,factual,30.110496044158936
58,What is the mechanism that does cocaine hijack?,Drugs of abuse.,0,0.061975501,1,0.9725044904464192,0.6666666666666666,factual,14.686822652816772
59,What was the result of Berzelius's theory of isomers?,"This discrepancy was explained by Berzelius's theory of isomers, which proposed that not only the number and type of elements but also the arrangement of atoms affects a compound's properties. This insight led to the development of structural theories, such as the radical theory of Jean-Baptiste Dumas and the substitution theory of Auguste Laurent.",1,1,1,1,1,comparative,14.39894437789917
60,What is the most important factor in their design?,Display to the general public has long been an important factor in their design.,1,1,1,0.9725044904464192,1,factual,9.433542013168335
61,What was the school of positivism?,"Auguste Comte formulated the school of positivism and aimed to discover general laws of history, similar to the laws of nature studied by physicists.",0.5263157894736842,0.8421756029129028,0.3333333333333333,0.8670870086853021,1,multi-hop,9.618807315826416
62,What is the difference between world federalism and other types of global governance?,"The United Nations is not a legislative body and is thus limited to a mostly advisory role. Its stated purpose is to foster cooperation between existing national governments rather than exert authority over them. Furthermore, membership of the United Nations organization is reserved for states, not individuals (see World Citizenship). A unitary world government would consist of a single, central government body with supreme sovereignty. While administrative subdivisions might exist, their powers are delegated by the central government. In a world federation based on subsidiarity, the delegation is the other way round, from local to central. Global federal government is subsidiary to local in that it only does what local government cannot.",0.29850746268656714,0.7682466506958008,1,1,1,inferential,9.172133922576904
63,What was the first machine tool invented?,"Boring cast iron cylinders with precision was not possible until John Wilkinson invented his boring machine, which is considered the first machine tool.",0.7804878048780487,0.951519251,1,1,1,multi-hop,11.968998432159424
64,What is the function of cells?,Cells are the fundamental units of life.,1,1,1,1,0.6666666666666666,inferential,9.369871854782104
65,"What is the result of giving the ""molecule"" a charge?","When this rule is broken, giving the ""molecule"" a charge, the result is sometimes named a molecular ion or a polyatomic ion.",0.7586206896551724,0.8227104544639587,1,1,1,factual,12.198604583740234
66,"What is the name of the process that produced most of the hydrogen, helium and a very small quantity of lithium?",Big Bang nucleosynthesis,0.19354838709677416,0.5836201310157776,1,1,1,multi-hop,13.58079981803894
67,What is passive–aggressive behaviour?,"Passive–aggressive behaviour is a form of covert abuse. It is passive, sometimes obstructionist resistance to following through with expectations in interpersonal or occupational situations. It can manifest itself as learned helplessness, procrastination, stubbornness, resentment, sullenness, or deliberate and repeated failures in accomplishing tasks for which one is (often explicitly) expected to do.",0.625,0.9615535736083984,1,1,0.6666666666666666,factual,10.757176160812378
68,What is the origin of the survey?,The Domesday Book in Medieval Arabic writings encompass a rich tradition that unveils early insights into the field of sociology.,0,0.13452500104904175,0.3333333333333333,1,0.6666666666666666,inferential,10.955121517181396
69,What is the name of the person who led the team that made the first crossing of the Greenland interior?,Fridtjof Wedel-Jarlsberg Nansen,0.2424242424242424,0.5181221961975098,1,0.9197207891481876,0.6666666666666666,multi-hop,14.080901145935059
70,"Why is ragging a form of abuse on newcomers to educational institutions in India, Sri Lanka, and Australia?","Racism is correlated with and can foster race-based prejudice, violence, dislike, discrimination, and oppression. Ragging is a form of abuse on newcomers to educational institutions in India, Sri Lanka, and Australia. It is similar to the American phenomenon known as hazing. Currently, Sri Lanka is said to be its worst affected country in the world. Rape, a form of sexual assault, is an assault by a person involving sexual intercourse (with or without sexual penetration) of another without the other's consent (this includes those who are considered unable to consent, e.g., if they were inebriated or asleep) The rate of reporting, prosecution and convictions for rape varies considerably in different jurisdictions. The US Bureau of Justice Statistics ( Relational aggression, also known as covert aggression or covert bullying is a type of aggression in which harm is caused through damage to relationships or social status within a group rather than physical violence.",0.11320754716981132,0.42573481798171997,1,1,1,multi-hop,13.159498929977417
71,What was the first machine tool invented?,"Boring cast iron cylinders with precision was not possible until John Wilkinson invented his boring machine, which is considered the first machine tool.",0.7804878048780487,0.951519251,1,1,1,inferential,12.46707296
72,What is passive–aggressive behaviour?,"Passive–aggressive behaviour is a form of covert abuse. It is passive, sometimes obstructionist resistance to following through with expectations in interpersonal or occupational situations. It can manifest itself as learned helplessness, procrastination, stubbornness, resentment, sullenness, or deliberate and repeated failures in accomplishing tasks for which one is (often explicitly) expected to do.",0.625,0.9615535736083984,1,1,0.6666666666666666,factual,10.636127471923828
73,What is the energy of an emitted photon proportional to its frequency?,The energy of an emitted photon is proportional to its frequency.,1,1,1,1,1,multi-hop,9.685315370559692
74,What is the purpose of the cascading approach?,The cascading approach not only accelerates processing speeds but also enhances the system's capability to manage complex tasks efficiently under tight resource constraints.,0.1081081081081081,0.4140884280204773,1,1,0.6666666666666666,inferential,11.269716024398804
75,What is the reason that an individual may use delay tactics?,Delay tactics are a form of denial.,0.17391304347826086,0.6175057888031006,1,1,1,factual,28.638092279434204
76,What is the chemical state of a chemical element?,"The chemical state of a chemical element is due to its electronic, chemical and physical properties as it exists in combination with itself or a group of one or more other elements. A chemical state is often defined as an ""oxidation state"" when referring to metal cations.",0.8,0.9251172542572021,1,0.9777813616305049,1,multi-hop,11.281270980834961
77,What did the Futurists believe was inappropriate to modern life?,The constraints of syntax.,0.5714285714285715,0.5930749773979187,1,0.8403030283801005,0.3333333333333333,factual,9.184245586395264
78,What is the amount produced by chemical synthesis known as?,The amount produced by chemical synthesis is known as the reaction yield.,1,1.0000001192092896,1,1,1,multi-hop,8.997778177261353
79,What is a primary source?,A primary source is a source that originated during the period that is studied.,1,1.0000001192092896,1,1,1,factual,9.485403776168823
80,What is important to design the microfluidics system for cell culture in a manner that minimizes cell stress situations?,"Exposure to stressors within microsystems can impact cells through direct and indirect ways. Therefore, it is important to design the microfluidics system for cell culture in a manner that minimizes cell stress situations.",0.1724137931034483,0.7080615758895874,1,1,1,factual,15.225956916809082
81,What is the advantage of negative photoresists?,"Good adhesion to silicon, lower cost, and a shorter processing time.",1,0.9999998807907104,1,1,0.3333333333333333,multi-hop,10.629672765731812
82,What is the relationship between religion and geography?,"Religion and geography is the study of the impact of geography, i.e. place and space, on religious belief. Another aspect of the relationship between religion and geography is religious geography, in which geographical ideas are influenced by religion, such as early map-making, and the biblical geography that developed in the 16th century to identify places from the Bible.",1,0.9998989701271057,1,1,1,inferential,12.879041910171509
83,What can be converted into glucose?,3-phosphoglyceraldehyde,0.5714285714285715,0.7872004508972168,1,1,0.3333333333333333,comparative,9.856816053390503
84,What is the potential to arise in the form of verbal attacks or psychological intimidation?,"It is in some instances triggered by ""contempt of cop"", i.e., perceived disrespect towards police officers. [Chunk 25714536_chunk_24]",0.1212121212121212,0.5750643610954285,1,1,1,factual,10.894721031188965
85,What is the difference between the two lenses of a binocular microscope?,The distance between the front lenses of the microscope must be much smaller than the normal distance between our eyes.,1,0.9999998807907104,1,1,1,factual,9.477626323699951
86,"What is the term ""moral outsourcing""?","The term ""moral outsourcing"" refers to the concept of outsourcing, or enlisting an external operation to complete specific work for another organization.",1,1.000000238418579,1,1,1,factual,10.034688949584961
87,What is the mass of an atom at rest?,"The actual mass of an atom at rest is often expressed in daltons (Da), also called the unified atomic mass unit (u). This unit is defined as a twelfth of the mass of a free neutral atom of carbon-12, which is approximately 1.661027 kg. The answer: 1.661027 kg.",0.8518518518518519,0.9316400289535522,1,1,1,factual,14.567919969558716
88,How did process engineers improve the process?,The process engineers were required to optimize the process in which these products were created.,0.2105263157894737,0.5657632350921631,1,0.8213137146137828,1,inferential,10.079645872116089
89,What is the legal requirement for a medical doctor to be licensed or registered?,"a medical degree from a university and accreditation by a medical board or an equivalent national organization, which may ask the applicant to pass exams.",0.2680412371134021,0.5847856998443604,1,1,1,comparative,25.901784420013428
90,What is the speed of a chemical reaction?,"The speed of a chemical reaction (at given temperature T) is related to the activation energy E, by the Boltzmann's population factor e  E / k T displaystyle e-E/kT – that is the probability of a molecule to have energy greater than or equal to E at the given temperature T. The answer: e  E / k T displaystyle e E / k T displaystyle e E / k T",0.7301587301587301,0.8661625981330872,1,1,1,factual,18.34663414955139
91,What is the mechanism for methane binding?,The superelectrophilic anions react directly at the vacuum interface with C–H groups of the phthalate alkyl groups according to the mechanism for methane binding shown in Figure 8.,1,1.0000001192092896,0.5,1,1,factual,11.978542566299438
92,What is the difference between the concentration of negative charge on each chlorine and the concentration of negative charge on each chlorine?,"The concentration of negative charge on each chlorine has a through space effect which can be seen in the relative pKa values. When the chlorines are pointed over the carboxylic acid group, the pKa is higher because loss of a proton is less favorable due to the increase in negative charge in the area. Loss of a proton results in a negative charge which is less stable if there is already an inherent concentration of electrons. This can be attributed to a field effect because in the same compound with the chlorines pointed away from the acidic group the pKa is lower, and if the effect were inductive the conformational position would not matter.",0.7218045112781954,0.8585577011108398,1,1,1,comparative,27.102375745773315
93,Why is Facebook Depression associated with sleep deprivation?,The overuse of technology is said to be associated with sleep deprivation which is linked to obesity and poor academic performance in the lives of adolescents.,0.047619048,0.18316051363945007,1,1,0.6666666666666666,comparative,13.308107852935791
94,What can be done to improve the mechanical properties of the electrolyte?,Matrix content ranging from 10 to 40 wt% can shift the mechanical properties of the electrolyte from a soft paste into a hard gel.,0.12903225806451613,0.4590345025062561,1,1,1,inferential,18.936864852905273
95,What is the type of society sought for?,"A central tenet of anarchism is the advocacy of society without states. The type of society sought for varies significantly between anarchist schools of thought, ranging from extreme individualism to complete collectivism. The type of society sought for varies significantly between anarchist schools of thought, ranging from extreme individualism to complete collectivism.",1,0.9870492815971375,1,1,1,comparative,14.663922548294067
96,What is the purpose of agenda determination?,"To determine the presence of political bias, agenda determination is used. Agenda determination is designed to provide an understanding of the agenda behind the presentation of political issues and attempt to determine political bias that is present.",0.9166666666666666,0.9521775245666504,1,1,1,inferential,10.108037948608398
97,What is the chemical compound phosphorimidazolide?,A phosphorimidazolide is a chemical compound in which a phosphoryl mono-ester is covalently bound to a nitrogen atom in an imidazole ring.,0.888888889,0.9880093336105347,1,0.9725044904464192,0.6666666666666666,inferential,12.131885290145874
98,What is the mass of an atom at rest?,"The actual mass of an atom at rest is often expressed in daltons (Da), also called the unified atomic mass unit (u). This unit is defined as a twelfth of the mass of a free neutral atom of carbon-12, which is approximately 1.661027 kg. The answer: 1.661027 kg.",0.8518518518518519,0.9316400289535522,1,1,1,factual,15.463576316833496
99,What is the cause of death in both types of LAMA2-MD?,Respiratory tract infections are a cause of death in the congenital type 1A or MDC1A.,0.6666666666666666,0.6595209240913391,1,1,1,multi-hop,10.233681678771973
100,Why is consciousness of guilt admissible evidence?,"Consciousness of guilt is a type of circumstantial evidence that judges, prosecutors, and juries may consider when determining whether a defendant is guilty of a criminal offense. It is often admissible evidence, and judges are required to instruct juries on this form of evidence.",1,0.9999998211860657,1,1,1,comparative,15.844758033752441
